nursery,station,year,month,mean_max_temp
andreasens,67108,2016,2,30.3
andreasens,67108,2016,3,29.4
andreasens,67108,2016,4,26.2
andreasens,67108,2016,5,23.2
andreasens,67108,2016,6,18.1
andreasens,67108,2016,7,18.5
andreasens,67108,2016,8,18.7
andreasens,67108,2016,9,21.1
andreasens,67108,2016,10,24.5
mangrove mountain,61375,2010,1,28.6
mangrove mountain,61375,2010,2,27.3
mangrove mountain,61375,2010,3,25
mangrove mountain,61375,2010,4,22.5
mangrove mountain,61375,2010,5,18.4
mangrove mountain,61375,2010,6,15.5
mangrove mountain,61375,2010,7,14.9
mangrove mountain,61375,2010,8,16.2
mangrove mountain,61375,2010,9,20.2
mangrove mountain,61375,2010,10,21.1
mangrove mountain,61375,2010,11,23.4
mangrove mountain,61375,2010,12,25.9
mangrove mountain,61375,2011,1,28.3
mangrove mountain,61375,2011,2,28.3
mangrove mountain,61375,2011,3,25.4
mangrove mountain,61375,2011,4,20.6
mangrove mountain,61375,2011,5,17.5
mangrove mountain,61375,2011,6,15.5
mangrove mountain,61375,2011,7,14.7
mangrove mountain,61375,2011,8,17.4
mangrove mountain,61375,2011,9,20.6
mangrove mountain,61375,2011,10,21.3
mangrove mountain,61375,2011,11,25.5
mangrove mountain,61375,2011,12,21.8
mangrove mountain,61375,2012,1,25.9
mangrove mountain,61375,2012,2,25.2
mangrove mountain,61375,2012,3,24.2
mangrove mountain,61375,2012,4,22.2
mangrove mountain,61375,2012,5,18.8
mangrove mountain,61375,2012,6,15.2
mangrove mountain,61375,2012,7,15.3
mangrove mountain,61375,2012,8,17.9
mangrove mountain,61375,2012,9,22
mangrove mountain,61375,2012,10,23.6
mangrove mountain,61375,2012,11,25.1
mangrove mountain,61375,2012,12,26.9
mangrove mountain,61375,2013,1,28.8
mangrove mountain,61375,2013,2,25.7
mangrove mountain,61375,2013,3,25.4
mangrove mountain,61375,2013,4,22.3
mangrove mountain,61375,2013,5,19.1
mangrove mountain,61375,2013,6,15.9
mangrove mountain,61375,2013,7,17.2
mangrove mountain,61375,2013,8,19.2
mangrove mountain,61375,2013,9,23.9
mangrove mountain,61375,2013,10,25.9
mangrove mountain,61375,2013,11,24
mangrove mountain,61375,2013,12,27.4
mangrove mountain,61375,2014,1,28
mangrove mountain,61375,2014,2,26.4
mangrove mountain,61375,2014,3,25.3
mangrove mountain,61375,2014,4,22.1
mangrove mountain,61375,2014,5,20.6
mangrove mountain,61375,2014,6,16.8
mangrove mountain,61375,2014,7,16.4
mangrove mountain,61375,2014,8,16.1
mangrove mountain,61375,2014,9,20.4
mangrove mountain,61375,2014,10,25
mangrove mountain,61375,2014,11,26.8
mangrove mountain,61375,2014,12,27.1
mangrove mountain,61375,2015,1,27.6
mangrove mountain,61375,2015,2,26.2
mangrove mountain,61375,2015,3,26.2
mangrove mountain,61375,2015,4,21.1
mangrove mountain,61375,2015,5,18.1
mangrove mountain,61375,2015,6,16.3
mangrove mountain,61375,2015,7,15.5
mangrove mountain,61375,2015,8,17.8
mangrove mountain,61375,2015,9,19.4
mangrove mountain,61375,2015,10,25.4
mangrove mountain,61375,2015,11,25.5
mangrove mountain,61375,2015,12,26.7
mangrove mountain,61375,2016,1,27.2
mangrove mountain,61375,2016,2,28.2
mangrove mountain,61375,2016,3,27
mangrove mountain,61375,2016,4,23.9
mangrove mountain,61375,2016,5,21.9
mangrove mountain,61375,2016,6,16.9
mangrove mountain,61375,2016,7,16.7
mangrove mountain,61375,2016,8,17.4
mangrove mountain,61375,2016,9,19.9
mangrove mountain,61375,2016,10,23.1
trees impact,61412,2010,1,29.4
trees impact,61412,2010,2,29.5
trees impact,61412,2010,3,27
trees impact,61412,2010,4,25.1
trees impact,61412,2010,5,21.2
trees impact,61412,2010,6,18.3
trees impact,61412,2010,7,17.6
trees impact,61412,2010,8,18.6
trees impact,61412,2010,9,21.9
trees impact,61412,2010,10,22.6
trees impact,61412,2010,11,24.9
trees impact,61412,2010,12,26.6
trees impact,61412,2011,1,28.9
trees impact,61412,2011,2,30
trees impact,61412,2011,3,27.6
trees impact,61412,2011,4,23.1
trees impact,61412,2011,5,19.8
trees impact,61412,2011,6,18.4
trees impact,61412,2011,7,17.4
trees impact,61412,2011,8,19.6
trees impact,61412,2011,9,22.2
trees impact,61412,2011,10,22.4
trees impact,61412,2011,11,26.8
trees impact,61412,2011,12,23.5
trees impact,61412,2012,1,26.8
trees impact,61412,2012,2,26.1
trees impact,61412,2012,3,25.6
trees impact,61412,2012,4,23.8
trees impact,61412,2012,5,20.8
trees impact,61412,2012,6,17.7
trees impact,61412,2012,7,17.5
trees impact,61412,2012,8,19.9
trees impact,61412,2012,9,23.2
trees impact,61412,2012,10,24.3
trees impact,61412,2012,11,25.2
trees impact,61412,2012,12,27.4
trees impact,61412,2013,1,29.1
trees impact,61412,2013,2,26.8
trees impact,61412,2013,3,26.5
trees impact,61412,2013,4,23.9
trees impact,61412,2013,5,21
trees impact,61412,2013,6,18.2
trees impact,61412,2013,7,19.5
trees impact,61412,2013,8,21.3
trees impact,61412,2013,9,25.4
trees impact,61412,2013,10,27.1
trees impact,61412,2013,11,25.1
trees impact,61412,2013,12,27.3
trees impact,61412,2014,1,27.5
trees impact,61412,2014,2,27.1
trees impact,61412,2014,3,26.5
trees impact,61412,2014,4,24
trees impact,61412,2014,5,22.6
trees impact,61412,2014,6,19.5
trees impact,61412,2014,7,18.8
trees impact,61412,2014,8,18.3
trees impact,61412,2014,9,22
trees impact,61412,2014,10,25.5
trees impact,61412,2014,11,26.9
trees impact,61412,2014,12,27.6
trees impact,61412,2015,1,28.2
trees impact,61412,2015,2,27.4
trees impact,61412,2015,3,27.5
trees impact,61412,2015,4,23.3
trees impact,61412,2015,5,20.4
trees impact,61412,2015,6,18.5
trees impact,61412,2015,7,17.6
trees impact,61412,2015,8,19.7
trees impact,61412,2015,9,20.7
trees impact,61412,2015,10,26.2
trees impact,61412,2015,11,27
trees impact,61412,2015,12,27.2
trees impact,61412,2016,1,28.4
trees impact,61412,2016,2,28.6
trees impact,61412,2016,3,27.4
trees impact,61412,2016,4,25.5
trees impact,61412,2016,5,23.6
trees impact,61412,2016,6,19
trees impact,61412,2016,7,19
trees impact,61412,2016,8,19.5
trees impact,61412,2016,9,21.8
trees impact,61412,2016,10,24.7
established tree transplanters,86383,2010,1,28.5
established tree transplanters,86383,2010,2,29.1
established tree transplanters,86383,2010,3,26.1
established tree transplanters,86383,2010,4,21.9
established tree transplanters,86383,2010,5,17.1
established tree transplanters,86383,2010,6,13.1
established tree transplanters,86383,2010,7,13.4
established tree transplanters,86383,2010,8,13.1
established tree transplanters,86383,2010,9,15.1
established tree transplanters,86383,2010,10,19.8
established tree transplanters,86383,2010,11,22.9
established tree transplanters,86383,2010,12,24.5
established tree transplanters,86383,2011,1,26.9
established tree transplanters,86383,2011,2,25.2
established tree transplanters,86383,2011,3,22.5
established tree transplanters,86383,2011,4,20.1
established tree transplanters,86383,2011,5,15.1
established tree transplanters,86383,2011,6,14.6
established tree transplanters,86383,2011,7,13.3
established tree transplanters,86383,2011,8,16.2
established tree transplanters,86383,2011,9,17.9
established tree transplanters,86383,2011,10,20.4
established tree transplanters,86383,2011,11,23.7
established tree transplanters,86383,2011,12,24.8
established tree transplanters,86383,2012,1,27.2
established tree transplanters,86383,2012,2,27.5
established tree transplanters,86383,2012,3,23.2
established tree transplanters,86383,2012,4,21.3
established tree transplanters,86383,2012,5,15.7
established tree transplanters,86383,2012,6,13.7
established tree transplanters,86383,2012,7,13.6
established tree transplanters,86383,2012,8,14
established tree transplanters,86383,2012,9,17.3
established tree transplanters,86383,2012,10,19.9
established tree transplanters,86383,2012,11,23
established tree transplanters,86383,2012,12,25.4
established tree transplanters,86383,2013,1,29.2
established tree transplanters,86383,2013,2,30.7
established tree transplanters,86383,2013,3,27.2
established tree transplanters,86383,2013,4,21
established tree transplanters,86383,2013,5,17.4
established tree transplanters,86383,2013,6,14.5
established tree transplanters,86383,2013,7,15.2
established tree transplanters,86383,2013,8,15.4
established tree transplanters,86383,2013,9,19.1
established tree transplanters,86383,2013,10,18.6
established tree transplanters,86383,2013,11,21.7
established tree transplanters,86383,2013,12,24.9
established tree transplanters,86383,2014,1,29.3
established tree transplanters,86383,2014,2,30
established tree transplanters,86383,2014,3,26.4
established tree transplanters,86383,2014,4,20.9
established tree transplanters,86383,2014,5,18.6
established tree transplanters,86383,2014,6,14.5
established tree transplanters,86383,2014,7,13.3
established tree transplanters,86383,2014,8,15.3
established tree transplanters,86383,2014,9,18.1
established tree transplanters,86383,2014,10,21.6
established tree transplanters,86383,2014,11,23.7
established tree transplanters,86383,2014,12,25.4
established tree transplanters,86383,2015,1,27.5
established tree transplanters,86383,2015,2,29.2
established tree transplanters,86383,2015,3,24.1
established tree transplanters,86383,2015,4,19.8
established tree transplanters,86383,2015,5,16.6
established tree transplanters,86383,2015,6,13.7
established tree transplanters,86383,2015,7,12.6
established tree transplanters,86383,2015,8,13.4
established tree transplanters,86383,2015,9,17.2
established tree transplanters,86383,2015,10,24.6
established tree transplanters,86383,2015,11,23.9
established tree transplanters,86383,2015,12,30
established tree transplanters,86383,2016,1,28.5
established tree transplanters,86383,2016,2,28
established tree transplanters,86383,2016,3,26.5
established tree transplanters,86383,2016,4,22.4
established tree transplanters,86383,2016,5,18
established tree transplanters,86383,2016,6,13.3
established tree transplanters,86383,2016,7,13.7
established tree transplanters,86383,2016,8,15.2
established tree transplanters,86383,2016,9,16.4
established tree transplanters,86383,2016,10,18.6
mt william,88162,2010,1,25.8
mt william,88162,2010,2,24.8
mt william,88162,2010,3,21.5
mt william,88162,2010,4,17.9
mt william,88162,2010,5,13
mt william,88162,2010,6,9.2
mt william,88162,2010,7,9
mt william,88162,2010,8,8.9
mt william,88162,2010,9,11.2
mt william,88162,2010,10,15.5
mt william,88162,2010,11,18.8
mt william,88162,2010,12,20.5
mt william,88162,2011,1,23.3
mt william,88162,2011,2,22
mt william,88162,2011,3,18.6
mt william,88162,2011,4,16.4
mt william,88162,2011,5,11.2
mt william,88162,2011,6,10.5
mt william,88162,2011,7,9.1
mt william,88162,2011,8,12
mt william,88162,2011,9,13.8
mt william,88162,2011,10,15.9
mt william,88162,2011,11,20
mt william,88162,2011,12,21
mt william,88162,2012,1,24.2
mt william,88162,2012,2,24.2
mt william,88162,2012,3,19.3
mt william,88162,2012,4,17.5
mt william,88162,2012,5,11.9
mt william,88162,2012,6,9.7
mt william,88162,2012,7,9.6
mt william,88162,2012,8,9.9
mt william,88162,2012,9,13.8
mt william,88162,2012,10,16.7
mt william,88162,2012,11,21
mt william,88162,2012,12,24
mt william,88162,2013,1,27.3
mt william,88162,2013,2,27.6
mt william,88162,2013,3,23.7
mt william,88162,2013,4,17.5
mt william,88162,2013,5,13.4
mt william,88162,2013,6,10.6
mt william,88162,2013,7,10.2
mt william,88162,2013,8,11.2
mt william,88162,2013,9,15.1
mt william,88162,2013,10,15.7
mt william,88162,2013,11,18.4
mt william,88162,2013,12,23.1
mt william,88162,2014,1,27.5
mt william,88162,2014,2,27.5
mt william,88162,2014,3,23.2
mt william,88162,2014,4,16.7
mt william,88162,2014,5,14.4
mt william,88162,2014,6,10.6
mt william,88162,2014,7,9.2
mt william,88162,2014,8,11.2
mt william,88162,2014,9,14.2
mt william,88162,2014,10,18.2
mt william,88162,2014,11,22
mt william,88162,2014,12,24.3
mt william,88162,2015,1,25.3
mt william,88162,2015,2,26.6
mt william,88162,2015,3,21.3
mt william,88162,2015,4,16.2
mt william,88162,2015,5,12.7
mt william,88162,2015,6,10
mt william,88162,2015,7,8.6
mt william,88162,2015,8,9.7
mt william,88162,2015,9,13.4
mt william,88162,2015,10,21.8
mt william,88162,2015,11,21.6
mt william,88162,2015,12,28
mt william,88162,2016,1,25.3
mt william,88162,2016,2,25.7
mt william,88162,2016,3,23.8
mt william,88162,2016,4,19.3
mt william,88162,2016,5,13.9
mt william,88162,2016,6,9.5
mt william,88162,2016,7,9.4
mt william,88162,2016,8,10.9
mt william,88162,2016,9,12.2
mt william,88162,2016,10,14.8
darwin plant wholesalers,14041,2010,1,33.2
darwin plant wholesalers,14041,2010,2,34.6
darwin plant wholesalers,14041,2010,3,34.8
darwin plant wholesalers,14041,2010,4,33.4
darwin plant wholesalers,14041,2010,5,33.3
darwin plant wholesalers,14041,2010,6,32.2
darwin plant wholesalers,14041,2010,7,33.8
darwin plant wholesalers,14041,2010,8,35
darwin plant wholesalers,14041,2010,9,36.9
darwin plant wholesalers,14041,2010,10,35.3
darwin plant wholesalers,14041,2010,11,35.3
darwin plant wholesalers,14041,2010,12,33.9
darwin plant wholesalers,14041,2011,1,32
darwin plant wholesalers,14041,2011,2,31.7
darwin plant wholesalers,14041,2011,3,32.6
darwin plant wholesalers,14041,2011,4,32.7
darwin plant wholesalers,14041,2011,5,31.7
darwin plant wholesalers,14041,2011,6,30
darwin plant wholesalers,14041,2011,7,32.2
darwin plant wholesalers,14041,2011,8,33.7
darwin plant wholesalers,14041,2011,9,35.9
darwin plant wholesalers,14041,2011,10,36.8
darwin plant wholesalers,14041,2011,11,34.4
darwin plant wholesalers,14041,2011,12,34.7
darwin plant wholesalers,14041,2012,1,33.4
darwin plant wholesalers,14041,2012,2,34.2
darwin plant wholesalers,14041,2012,3,33
darwin plant wholesalers,14041,2012,4,34.3
darwin plant wholesalers,14041,2012,5,32.7
darwin plant wholesalers,14041,2012,6,31.3
darwin plant wholesalers,14041,2012,7,32.6
darwin plant wholesalers,14041,2012,8,34.5
darwin plant wholesalers,14041,2012,9,37.3
darwin plant wholesalers,14041,2012,10,36.7
darwin plant wholesalers,14041,2012,11,37
darwin plant wholesalers,14041,2012,12,36.9
darwin plant wholesalers,14041,2013,1,35.1
darwin plant wholesalers,14041,2013,2,35
darwin plant wholesalers,14041,2013,3,33.9
darwin plant wholesalers,14041,2013,4,34.8
darwin plant wholesalers,14041,2013,5,34.2
darwin plant wholesalers,14041,2013,6,32.8
darwin plant wholesalers,14041,2013,7,33
darwin plant wholesalers,14041,2013,8,34.9
darwin plant wholesalers,14041,2013,9,36.8
darwin plant wholesalers,14041,2013,10,38.1
darwin plant wholesalers,14041,2013,11,35.8
darwin plant wholesalers,14041,2013,12,34.5
darwin plant wholesalers,14041,2014,1,33
darwin plant wholesalers,14041,2014,2,32.5
darwin plant wholesalers,14041,2014,3,34.9
darwin plant wholesalers,14041,2014,4,34.1
darwin plant wholesalers,14041,2014,5,33.2
darwin plant wholesalers,14041,2014,6,32.3
darwin plant wholesalers,14041,2014,7,32.7
darwin plant wholesalers,14041,2014,8,33.8
darwin plant wholesalers,14041,2014,9,37.2
darwin plant wholesalers,14041,2014,10,38.5
darwin plant wholesalers,14041,2014,11,37.5
darwin plant wholesalers,14041,2014,12,35.5
darwin plant wholesalers,14041,2015,1,32.3
darwin plant wholesalers,14041,2015,2,35.1
darwin plant wholesalers,14041,2015,3,34.8
darwin plant wholesalers,14041,2015,4,34.7
darwin plant wholesalers,14041,2015,5,33.9
darwin plant wholesalers,14041,2015,6,33.5
darwin plant wholesalers,14041,2015,7,33
darwin plant wholesalers,14041,2015,8,34.4
darwin plant wholesalers,14041,2015,9,36.7
darwin plant wholesalers,14041,2015,10,37.7
darwin plant wholesalers,14041,2015,11,38.4
darwin plant wholesalers,14041,2015,12,34
darwin plant wholesalers,14041,2016,1,35.6
darwin plant wholesalers,14041,2016,2,35.6
darwin plant wholesalers,14041,2016,3,36
darwin plant wholesalers,14041,2016,4,35.9
darwin plant wholesalers,14041,2016,5,34.6
darwin plant wholesalers,14041,2016,6,34.8
darwin plant wholesalers,14041,2016,7,33.3
darwin plant wholesalers,14041,2016,8,34.8
darwin plant wholesalers,14041,2016,9,36.4
darwin plant wholesalers,14041,2016,10,36.7
benara,9178,2010,1,35.5
benara,9178,2010,2,33.9
benara,9178,2010,3,31.5
benara,9178,2010,4,26.3
benara,9178,2010,5,22.4
benara,9178,2010,6,19
benara,9178,2010,7,18
benara,9178,2010,8,19.2
benara,9178,2010,9,22.5
benara,9178,2010,10,25.6
benara,9178,2010,11,30.9
benara,9178,2010,12,30.8
benara,9178,2011,1,34.7
benara,9178,2011,2,35.1
benara,9178,2011,3,32.8
benara,9178,2011,4,28
benara,9178,2011,5,23.3
benara,9178,2011,6,19.4
benara,9178,2011,7,17.8
benara,9178,2011,8,19.9
benara,9178,2011,9,20.4
benara,9178,2011,10,24.6
benara,9178,2011,11,26.7
benara,9178,2011,12,31.5
benara,9178,2012,1,34.3
benara,9178,2012,2,31.7
benara,9178,2012,3,32
benara,9178,2012,4,27
benara,9178,2012,5,23.6
benara,9178,2012,6,19.3
benara,9178,2012,7,18.9
benara,9178,2012,8,19.9
benara,9178,2012,9,21.6
benara,9178,2012,10,25.4
benara,9178,2012,11,26.7
benara,9178,2012,12,31.7
benara,9178,2013,1,33
benara,9178,2013,2,35.2
benara,9178,2013,3,28.8
benara,9178,2013,4,28.9
benara,9178,2013,5,21.4
benara,9178,2013,6,19.7
benara,9178,2013,7,18.4
benara,9178,2013,8,19.9
benara,9178,2013,9,20.1
benara,9178,2013,10,24.9
benara,9178,2013,11,30.1
benara,9178,2013,12,31.9
benara,9178,2014,1,33.5
benara,9178,2014,2,34.3
benara,9178,2014,3,31.6
benara,9178,2014,4,27
benara,9178,2014,5,21.3
benara,9178,2014,6,19.4
benara,9178,2014,7,18.2
benara,9178,2014,8,22.2
benara,9178,2014,9,22.2
benara,9178,2014,10,25.2
benara,9178,2014,11,27.2
benara,9178,2014,12,29.9
benara,9178,2015,1,34.5
benara,9178,2015,2,34
benara,9178,2015,3,29.7
benara,9178,2015,4,25.8
benara,9178,2015,5,21.5
benara,9178,2015,6,20.9
benara,9178,2015,7,18.5
benara,9178,2015,8,19.2
benara,9178,2015,9,22.9
benara,9178,2015,10,28.1
benara,9178,2015,11,29.8
benara,9178,2015,12,30.8
benara,9178,2016,1,33
benara,9178,2016,2,33.8
benara,9178,2016,3,30.8
benara,9178,2016,4,25.2
benara,9178,2016,5,21
benara,9178,2016,6,18.3
benara,9178,2016,7,17.6
benara,9178,2016,8,17.6
benara,9178,2016,9,18.8
benara,9178,2016,10,22.7
arborwest,9053,2010,1,36
arborwest,9053,2010,2,34.3
arborwest,9053,2010,3,31.8
arborwest,9053,2010,4,26.6
arborwest,9053,2010,5,22.5
arborwest,9053,2010,6,19
arborwest,9053,2010,7,17.9
arborwest,9053,2010,8,19
arborwest,9053,2010,9,21.6
arborwest,9053,2010,10,25.6
arborwest,9053,2010,11,30.4
arborwest,9053,2010,12,31.2
arborwest,9053,2011,1,34.8
arborwest,9053,2011,2,35.6
arborwest,9053,2011,3,33.2
arborwest,9053,2011,4,28.3
arborwest,9053,2011,5,23.3
arborwest,9053,2011,6,19.4
arborwest,9053,2011,7,17.8
arborwest,9053,2011,8,19.7
arborwest,9053,2011,9,19.8
arborwest,9053,2011,10,24.1
arborwest,9053,2011,11,26.5
arborwest,9053,2011,12,30.9
arborwest,9053,2012,1,34
arborwest,9053,2012,2,32.1
arborwest,9053,2012,3,32
arborwest,9053,2012,4,27.3
arborwest,9053,2012,5,23.3
arborwest,9053,2012,6,19.2
arborwest,9053,2012,7,18.8
arborwest,9053,2012,8,19.9
arborwest,9053,2012,9,21.5
arborwest,9053,2012,10,25.7
arborwest,9053,2012,11,27.5
arborwest,9053,2012,12,32.7
arborwest,9053,2013,1,34
arborwest,9053,2013,2,36
arborwest,9053,2013,3,29.4
arborwest,9053,2013,4,29.4
arborwest,9053,2013,5,21.8
arborwest,9053,2013,6,20
arborwest,9053,2013,7,18.8
arborwest,9053,2013,8,20.2
arborwest,9053,2013,9,20.2
arborwest,9053,2013,10,24.8
arborwest,9053,2013,11,30.6
arborwest,9053,2013,12,32.8
arborwest,9053,2014,1,34.5
arborwest,9053,2014,2,35
arborwest,9053,2014,3,32.1
arborwest,9053,2014,4,27.8
arborwest,9053,2014,5,21.8
arborwest,9053,2014,6,19.3
arborwest,9053,2014,7,18.3
arborwest,9053,2014,8,21.5
arborwest,9053,2014,9,22.2
arborwest,9053,2014,10,25.4
arborwest,9053,2014,11,28.2
arborwest,9053,2014,12,31.1
arborwest,9053,2015,1,35.4
arborwest,9053,2015,2,34.7
arborwest,9053,2015,3,30.9
arborwest,9053,2015,4,26.1
arborwest,9053,2015,5,21.8
arborwest,9053,2015,6,21.2
arborwest,9053,2015,7,18.9
arborwest,9053,2015,8,19.3
arborwest,9053,2015,9,22.7
arborwest,9053,2015,10,28.4
arborwest,9053,2015,11,30.7
arborwest,9053,2015,12,31.5
arborwest,9053,2016,1,33.9
arborwest,9053,2016,2,34.3
arborwest,9053,2016,3,31.1
arborwest,9053,2016,4,25.1
arborwest,9053,2016,5,20.8
arborwest,9053,2016,6,18.3
arborwest,9053,2016,7,17.6
arborwest,9053,2016,8,17.5
arborwest,9053,2016,9,18.6
arborwest,9053,2016,10,22.4
ellenby tree farm,9053,2010,1,36
ellenby tree farm,9053,2010,2,34.3
ellenby tree farm,9053,2010,3,31.8
ellenby tree farm,9053,2010,4,26.6
ellenby tree farm,9053,2010,5,22.5
ellenby tree farm,9053,2010,6,19
ellenby tree farm,9053,2010,7,17.9
ellenby tree farm,9053,2010,8,19
ellenby tree farm,9053,2010,9,21.6
ellenby tree farm,9053,2010,10,25.6
ellenby tree farm,9053,2010,11,30.4
ellenby tree farm,9053,2010,12,31.2
ellenby tree farm,9053,2011,1,34.8
ellenby tree farm,9053,2011,2,35.6
ellenby tree farm,9053,2011,3,33.2
ellenby tree farm,9053,2011,4,28.3
ellenby tree farm,9053,2011,5,23.3
ellenby tree farm,9053,2011,6,19.4
ellenby tree farm,9053,2011,7,17.8
ellenby tree farm,9053,2011,8,19.7
ellenby tree farm,9053,2011,9,19.8
ellenby tree farm,9053,2011,10,24.1
ellenby tree farm,9053,2011,11,26.5
ellenby tree farm,9053,2011,12,30.9
ellenby tree farm,9053,2012,1,34
ellenby tree farm,9053,2012,2,32.1
ellenby tree farm,9053,2012,3,32
ellenby tree farm,9053,2012,4,27.3
ellenby tree farm,9053,2012,5,23.3
ellenby tree farm,9053,2012,6,19.2
ellenby tree farm,9053,2012,7,18.8
ellenby tree farm,9053,2012,8,19.9
ellenby tree farm,9053,2012,9,21.5
ellenby tree farm,9053,2012,10,25.7
ellenby tree farm,9053,2012,11,27.5
ellenby tree farm,9053,2012,12,32.7
ellenby tree farm,9053,2013,1,34
ellenby tree farm,9053,2013,2,36
ellenby tree farm,9053,2013,3,29.4
ellenby tree farm,9053,2013,4,29.4
ellenby tree farm,9053,2013,5,21.8
ellenby tree farm,9053,2013,6,20
ellenby tree farm,9053,2013,7,18.8
ellenby tree farm,9053,2013,8,20.2
ellenby tree farm,9053,2013,9,20.2
